Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1783980021.2933","15:00:21.293","4","93","1.0","0","0","0","0","0","0"
"1783980021.7927","15:00:21.792","4","93","1.0","0","0","0","0","0","0"
"1783980022.2926","15:00:22.292","4","93","1.0","0","0","0","0","0","0"
"1783980022.7922","15:00:22.792","4","93","1.0","0","0","0","0","0","0"
"1783980023.2919","15:00:23.291","4","93","1.0","0","0","1","0","0","1"
"1783980023.7921","15:00:23.792","4","93","1.0","33","2","2","1","1","2"
"1783980024.2926","15:00:24.292","4","93","1.0","42","2","2","2","1","2"
"1783980024.7916","15:00:24.791","4","93","1.0","25","1","2","2","0","2"
"1783980025.2919","15:00:25.291","4","93","1.0","0","0","1","2","0","0"
"1783980025.7918","15:00:25.791","4","93","1.0","0","0","0","0","0","0"
"1783980026.2915","15:00:26.291","4","93","1.0","0","0","0","0","1","0"
"1783980026.7911","15:00:26.791","4","93","1.0","0","0","0","1","2","0"
"1783980027.291","15:00:27.291","4","93","1.0","0","0","0","0","1","0"
"1783980027.7902","15:00:27.790","4","93","1.0","0","0","0","0","1","0"
"1783980028.2903","15:00:28.290","4","93","1.0","0","0","0","0","2","0"
"1783980028.7905","15:00:28.790","4","93","1.0","0","0","0","0","2","0"
"1783980029.2904","15:00:29.290","4","93","1.0","0","0","0","0","2","0"
"1783980029.7902","15:00:29.790","4","93","1.0","0","0","0","0","2","0"
"1783980030.29","15:00:30.290","4","93","1.0","0","0","0","0","2","0"
"1783980030.7897","15:00:30.789","4","93","1.0","0","0","1","0","0","1"
"1783980031.2897","15:00:31.289","4","93","1.0","0","0","0","1","0","0"
"1783980031.79","15:00:31.790","4","93","1.0","0","0","0","0","0","0"
"1783980032.2897","15:00:32.289","4","93","1.0","0","0","0","0","0","0"
"1783980032.7892","15:00:32.789","4","93","1.0","0","0","0","0","0","0"
"1783980033.2896","15:00:33.289","4","93","1.0","0","0","0","0","1","0"
"1783980033.7899","15:00:33.789","4","93","1.0","0","0","0","0","1","0"
"1783980034.2896","15:00:34.289","4","93","1.0","0","0","0","0","1","0"
"1783980034.7895","15:00:34.789","4","93","1.0","0","0","0","0","1","0"
"1783980035.2895","15:00:35.289","4","93","1.0","0","0","0","0","1","0"
"1783980035.7886","15:00:35.788","4","93","1.0","0","0","0","0","1","0"
"1783980036.2888","15:00:36.288","4","93","1.0","25","2","2","0","1","2"
"1783980036.7889","15:00:36.788","4","93","1.0","33","1","2","2","1","2"
"1783980037.2879","15:00:37.287","4","93","1.0","17","1","1","2","1","0"
"1783980037.7882","15:00:37.788","4","93","1.0","8","0","1","1","1","0"
"1783980038.2877","15:00:38.287","4","93","1.0","0","0","0","1","0","0"
"1783980038.787","15:00:38.787","4","93","1.0","0","0","0","0","0","0"
"1783980039.2868","15:00:39.286","4","93","1.0","17","1","1","0","1","1"
"1783980039.787","15:00:39.787","4","93","1.0","0","0","0","0","1","0"
"1783980040.2865","15:00:40.286","4","93","1.0","0","0","0","0","1","0"
"1783980040.7869","15:00:40.786","4","93","1.0","0","0","0","0","0","0"
"1783980041.2872","15:00:41.287","4","93","1.0","17","1","1","0","1","1"
"1783980041.787","15:00:41.787","4","93","1.0","17","0","1","1","2","1"
"1783980042.2865","15:00:42.286","4","93","1.0","0","0","0","0","0","0"
"1783980042.7863","15:00:42.786","4","93","1.0","0","0","0","0","0","0"
"1783980043.2861","15:00:43.286","4","93","1.0","0","0","0","0","0","0"
"1783980043.7856","15:00:43.785","4","93","1.0","0","1","0","0","0","0"
"1783980044.2861","15:00:44.286","4","93","1.0","0","0","0","0","0","0"
"1783980044.7853","15:00:44.785","4","93","1.0","0","0","0","0","0","0"
"1783980045.2852","15:00:45.285","4","93","1.0","0","1","0","0","0","0"
"1783980045.7852","15:00:45.785","4","93","1.0","0","0","0","0","0","0"
"1783980046.2849","15:00:46.284","4","93","1.0","0","0","1","0","1","0"
"1783980046.7841","15:00:46.784","4","93","1.0","0","0","0","1","1","0"
"1783980047.2846","15:00:47.284","4","93","1.0","0","0","0","0","1","0"
"1783980047.785","15:00:47.785","4","93","1.0","0","0","0","0","1","0"
"1783980048.2849","15:00:48.284","4","93","1.0","0","1","0","0","0","1"
"1783980048.7855","15:00:48.785","4","93","1.0","0","0","0","0","0","1"
"1783980049.2849","15:00:49.284","4","93","1.0","0","0","0","0","0","0"
"1783980049.7846","15:00:49.784","4","93","1.0","0","0","0","0","0","0"
"1783980050.2844","15:00:50.284","4","93","1.0","0","0","0","0","0","0"
"1783980050.7839","15:00:50.783","4","93","1.0","0","0","0","0","0","0"
"1783980051.2837","15:00:51.283","4","93","1.0","0","0","0","0","0","0"
"1783980051.7838","15:00:51.783","4","93","1.0","0","0","0","0","0","0"
"1783980052.2838","15:00:52.283","4","93","1.0","0","0","0","0","0","0"
"1783980052.7831","15:00:52.783","4","93","1.0","0","0","0","0","0","0"
"1783980053.2831","15:00:53.283","4","93","1.0","0","0","0","0","0","0"
"1783980053.783","15:00:53.783","4","93","1.0","0","0","0","0","0","0"
"1783980054.2826","15:00:54.282","4","93","1.0","0","0","0","0","0","0"
"1783980054.7829","15:00:54.782","4","93","1.0","0","0","0","0","0","0"
"1783980055.2829","15:00:55.282","4","93","1.0","0","0","0","0","0","0"
"1783980055.7826","15:00:55.782","4","93","1.0","0","0","0","0","0","0"
