Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1783984726.9931,16:18:46.993,39,false,0.0,4264.487,4383.462,4014.103,4395.513,4257.564
1783984727.001,16:18:47.001,40,false,0.0,4246.026,4358.462,3989.359,4431.154,4253.846
1783984727.0088,16:18:47.008,41,false,0.0,4255.0,4323.077,3985.897,4462.179,4297.564
1783984727.0167,16:18:47.016,42,false,0.0,4241.026,4294.231,4032.692,4446.795,4371.41
1783984727.0245,16:18:47.024,43,false,0.0,4193.077,4302.564,4057.564,4422.179,4385.769
1783984727.0324,16:18:47.032,44,false,0.0,4173.205,4319.487,4053.205,4394.103,4361.41
1783984727.0402,16:18:47.040,45,false,0.0,4200.256,4316.154,4066.282,4356.923,4367.949
1783984727.048,16:18:47.048,46,false,0.0,4218.846,4327.051,4075.0,4362.564,4361.795
1783984727.0558,16:18:47.055,47,false,0.0,4202.308,4350.128,4078.077,4395.769,4326.154
1783984727.0635,16:18:47.063,48,false,0.0,4193.077,4354.872,4103.333,4379.744,4322.564
1783984727.0713,16:18:47.071,49,false,0.0,4206.282,4366.923,4116.154,4346.667,4324.615
1783984727.0791,16:18:47.079,50,false,0.0,4206.154,4382.308,4098.974,4356.538,4293.205
1783984727.087,16:18:47.087,51,false,0.0,4197.051,4364.103,4074.872,4367.564,4266.923
1783984727.0949,16:18:47.094,52,false,0.0,4206.923,4351.282,4046.026,4357.692,4240.385
1783984727.1027,16:18:47.102,53,false,0.0,4218.718,4371.923,4036.923,4363.59,4212.179
1783984727.1105,16:18:47.110,54,false,0.0,4220.897,4382.051,4049.487,4375.128,4221.538
1783984727.1183,16:18:47.118,55,false,0.0,4234.103,4383.59,4029.872,4378.59,4226.923
1783984727.126,16:18:47.126,56,false,0.0,4254.231,4396.538,3999.744,4393.846,4210.641
1783984727.1338,16:18:47.133,57,false,0.0,4254.103,4378.333,4003.205,4403.333,4233.718
1783984727.1416,16:18:47.141,58,false,0.0,4228.077,4325.385,4000.385,4399.231,4268.974
1783984727.1494,16:18:47.149,59,false,0.0,4191.154,4298.205,4004.359,4412.564,4288.59
1783984727.1571,16:18:47.157,60,false,0.0,4165.513,4312.051,4058.205,4411.026,4338.077
1783984727.165,16:18:47.165,61,false,0.0,4179.872,4332.692,4092.436,4372.051,4378.077
1783984727.1728,16:18:47.172,62,false,0.0,4248.333,4347.436,4079.103,4368.462,4383.846
1783984727.1806,16:18:47.180,63,false,0.0,4324.744,4362.179,4082.692,4391.795,4416.923
1783984727.1883,16:18:47.188,64,false,0.0,4338.974,4362.564,4083.974,4359.231,4430.128
1783984727.1961,16:18:47.196,65,false,0.0,4305.897,4340.256,4052.436,4321.282,4379.487
1783984727.2039,16:18:47.203,66,false,0.0,4292.179,4333.974,4045.385,4334.872,4352.949
1783984727.2117,16:18:47.211,67,false,0.0,4292.821,4358.333,4064.872,4330.641,4345.897
1783984727.2194,16:18:47.219,68,false,0.0,4274.103,4367.308,4054.487,4305.128,4291.026
1783984727.2272,16:18:47.227,69,false,0.0,4251.923,4360.0,4025.641,4315.0,4233.718
1783984727.235,16:18:47.235,70,false,0.0,4243.59,4361.41,4005.128,4332.308,4204.103
1783984727.2429,16:18:47.242,71,false,0.0,4250.641,4338.077,3983.333,4354.103,4194.359
1783984727.2506,16:18:47.250,72,false,0.0,4273.333,4299.231,3980.769,4406.667,4244.872
1783984727.2584,16:18:47.258,73,false,0.0,4280.513,4298.846,4023.333,4438.718,4333.205
1783984727.2662,16:18:47.266,74,false,0.0,4251.41,4309.615,4067.821,4434.103,4380.385
1783984727.274,16:18:47.274,75,false,0.0,4216.667,4310.897,4072.692,4429.231,4375.769
1783984727.2817,16:18:47.281,76,false,0.0,4204.103,4334.103,4067.564,4404.487,4353.462
1783984727.2895,16:18:47.289,77,false,0.0,4217.308,4344.615,4063.718,4367.436,4347.051
1783984727.2973,16:18:47.297,78,false,0.0,4238.974,4327.949,4039.615,4359.231,4352.821
1783984727.3051,16:18:47.305,79,false,0.0,4237.821,4338.974,4031.282,4364.103,4332.821
1783984727.3128,16:18:47.312,80,false,0.0,4228.077,4358.077,4056.538,4378.974,4309.744
1783984727.3207,16:18:47.320,81,false,0.0,4241.154,4357.821,4062.308,4393.718,4318.077
1783984727.3285,16:18:47.328,82,false,0.0,4249.231,4376.538,4055.897,4360.897,4320.641
1783984727.3363,16:18:47.336,83,false,0.0,4240.641,4387.821,4073.846,4340.897,4306.795
1783984727.3442,16:18:47.344,84,false,0.0,4248.59,4367.821,4080.641,4387.692,4299.103
1783984727.352,16:18:47.352,85,false,0.0,4260.513,4375.0,4075.513,4395.128,4285.769
1783984727.3598,16:18:47.359,86,false,0.0,4260.256,4398.205,4090.897,4355.256,4272.179
1783984727.3676,16:18:47.367,87,false,0.0,4264.487,4393.077,4087.051,4374.872,4264.487
1783984727.3755,16:18:47.375,88,false,0.0,4258.462,4397.692,4060.0,4400.513,4248.974
1783984727.3833,16:18:47.383,89,false,0.0,4246.41,4406.923,4061.923,4379.359,4249.872
1783984727.3911,16:18:47.391,90,false,0.0,4264.231,4382.179,4066.795,4394.615,4265.385
