id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
10,1120009.670013,141.20849990285933,59,63,0.4536166701587432,0.47636232387499905,0.9578924481930963,0.9979552560382419,3d gaze,-13.194242156416124,-5.135340021130726,199.67100645420126,1120009.670013 1120009.6740475 1120009.678082 1120009.6821165 1120009.686151 1120009.6901854998 1120009.69422 1120009.6982545 1120009.702289 1120009.7063235 1120009.710358 1120009.7143930001 1120009.7184275 1120009.7224619999 1120009.7264965 1120009.730531 1120009.7345655002 1120009.7386 1120009.742635 1120009.7466695001 1120009.750704 1120009.7547384999 1120009.758773 1120009.7628075 1120009.766842 1120009.7708764998 1120009.774911 1120009.7789455 1120009.7829800001 1120009.7870145 1120009.7910489999 1120009.7950835 1120009.799118 1120009.8031525 1120009.807187 1120009.8112215
11,1120010.1017075,117.0014999806881,72,75,0.44265107457114933,0.44441622793685615,1.4500060509772892,1.0,3d gaze,-14.25668568566821,0.5448714038441167,170.3371714004125,1120010.1017075 1120010.105742 1120010.1097765001 1120010.113811 1120010.1178455 1120010.12188 1120010.1259145 1120010.129949 1120010.1339834998 1120010.138018 1120010.1420525 1120010.1460874998 1120010.150122 1120010.1541565 1120010.158191 1120010.1622255 1120010.1662599999 1120010.1702945 1120010.1743295002 1120010.178364 1120010.1823985 1120010.186433 1120010.1904675001 1120010.194502 1120010.1985364999 1120010.202571 1120010.2066055 1120010.21064 1120010.2146744998 1120010.218709
12,1120010.2227435,217.86449989303946,75,82,0.45394297066265515,0.44562689046182835,1.0191559191093327,0.9993836760520936,3d gaze,-11.274084788014749,0.3852420235477815,172.03261938150035,1120010.2227435 1120010.2267780001 1120010.2308125 1120010.2348469999 1120010.2388815 1120010.242916 1120010.2469505002 1120010.250985 1120010.2550195 1120010.259054 1120010.2630885001 1120010.267123 1120010.2711574999 1120010.275192 1120010.2792265 1120010.283261 1120010.287296 1120010.2913305 1120010.2953650001 1120010.2993995 1120010.303434 1120010.3074685 1120010.311503 1120010.3155375002 1120010.319572 1120010.3236065 1120010.327641 1120010.3316755001 1120010.33571 1120010.3397445 1120010.343779 1120010.347814 1120010.3518484998 1120010.355883 1120010.3599175 1120010.363952 1120010.3679865 1120010.372021 1120010.3760555 1120010.38009 1120010.3841245 1120010.388159 1120010.3921935 1120010.396228 1120010.400263 1120010.4042975 1120010.408332 1120010.4123665001 1120010.416401 1120010.4204354999 1120010.42447 1120010.4285045 1120010.432539 1120010.4365734998 1120010.440608
13,1120010.4446425,217.86449989303946,82,88,0.4477611966435467,0.43315229733161686,0.7647678685517202,0.9984058976173401,3d gaze,-12.40094017015863,2.2190222872562644,164.1194367662478,1120010.4446425 1120010.4486770001 1120010.4527115 1120010.4567459999 1120010.4607805 1120010.464815 1120010.4688495002 1120010.472884 1120010.4769185 1120010.480953 1120010.4849875001 1120010.489022 1120010.4930564999 1120010.497091 1120010.5011255 1120010.5051604998 1120010.509195 1120010.5132295 1120010.517264 1120010.5212985 1120010.5253329999 1120010.5293675 1120010.533402 1120010.5374365002 1120010.541471 1120010.5455055 1120010.54954 1120010.5535745001 1120010.5576095 1120010.561644 1120010.5656785 1120010.569713 1120010.5737474998 1120010.577782 1120010.5818165 1120010.585851 1120010.5898854998 1120010.59392 1120010.5979545 1120010.601989 1120010.6060235002 1120010.610058 1120010.6140925 1120010.618127 1120010.6221615002 1120010.6261965 1120010.630231 1120010.6342655001 1120010.6383 1120010.6423344999 1120010.646369 1120010.6504035 1120010.654438 1120010.6584724998 1120010.662507
14,1120010.6665415,189.62249998003244,89,94,0.4415721037769862,0.4330537854939371,1.3349113170540565,1.0,3d gaze,-15.216803547858866,2.3999017211129807,177.4056725224702,1120010.6665415 1120010.6705760001 1120010.6746105 1120010.678645 1120010.6826795 1120010.686714 1120010.6907485002 1120010.694783 1120010.6988175 1120010.702852 1120010.7068865001 1120010.710921 1120010.7149554999 1120010.71899 1120010.7230245 1120010.727059 1120010.7310934998 1120010.735128 1120010.7391630001 1120010.7431975 1120010.7472319999 1120010.751267 1120010.7553015 1120010.759336 1120010.7633705 1120010.767405 1120010.7714395002 1120010.775474 1120010.7795085 1120010.783543 1120010.7875775 1120010.791612 1120010.7956464998 1120010.799681 1120010.8037155 1120010.80775 1120010.8117845 1120010.815819 1120010.8198535 1120010.823888 1120010.8279225 1120010.831957 1120010.8359915 1120010.840026 1120010.8440605002 1120010.848095 1120010.8521295 1120010.856164
15,1120010.940889,217.86500001326203,97,103,0.4725744701475088,0.4162739832507855,1.4440598676008802,0.9878149845383384,3d gaze,-5.548994089995577,4.542497402173051,157.32801160042175,1120010.940889 1120010.9449235 1120010.948958 1120010.952993 1120010.9570275 1120010.9610620001 1120010.965097 1120010.9691315 1120010.973166 1120010.9772005002 1120010.981235 1120010.9852695 1120010.989304 1120010.9933385001 1120010.997373 1120011.0014075 1120011.005442 1120011.0094765 1120011.013511 1120011.0175454998 1120011.02158 1120011.0256145 1120011.029649 1120011.0336834998 1120011.037718 1120011.0417525 1120011.045787 1120011.0498215002 1120011.053856 1120011.0578905 1120011.061925 1120011.0659595001 1120011.069994 1120011.0740285 1120011.0780635 1120011.082098 1120011.0861324999 1120011.090167 1120011.0942015 1120011.098236 1120011.1022704998 1120011.106305 1120011.1103395 1120011.114374 1120011.1184085 1120011.122443 1120011.1264775 1120011.130512 1120011.1345465002 1120011.138581 1120011.1426155 1120011.14665 1120011.1506845 1120011.1547194999 1120011.158754
16,1120011.1627885,161.3809997215867,103,108,0.479107637437955,0.4239209957673483,1.387357012709356,0.9934536427259445,3d gaze,-4.22111701751455,3.66487220117236,169.9017557588789,1120011.1627885 1120011.166823 1120011.1708574998 1120011.174892 1120011.1789265 1120011.1829610001 1120011.1869955 1120011.1910299999 1120011.1950645 1120011.1990995002 1120011.203134 1120011.2071685 1120011.211203 1120011.2152375001 1120011.219272 1120011.2233065 1120011.227341 1120011.2313755 1120011.23541 1120011.2394444998 1120011.243479 1120011.2475135 1120011.251548 1120011.2555825 1120011.259617 1120011.2636515 1120011.267686 1120011.2717205002 1120011.275755 1120011.283824 1120011.2878585001 1120011.291893 1120011.2959275 1120011.299962 1120011.303997 1120011.3080314999 1120011.312066 1120011.3161005 1120011.320135 1120011.3241694998
17,1120011.44924,209.79550015181303,112,118,0.434632163185412,0.4295691657859321,1.4222337132601635,0.9998875586491711,3d gaze,-17.562970373733073,3.047594955929777,181.20484668098862,1120011.44924 1120011.4532745 1120011.457309 1120011.4613434998 1120011.465378 1120011.4694125 1120011.473447 1120011.4774814998 1120011.4815159999 1120011.4855505 1120011.489585 1120011.4936195002 1120011.497654 1120011.5016885 1120011.505723 1120011.5097575001 1120011.513792 1120011.5178264999 1120011.521861 1120011.5258955 1120011.5299304998 1120011.533965 1120011.5379995 1120011.542034 1120011.5460684998 1120011.550103 1120011.5541375 1120011.558172 1120011.5622065002 1120011.5662415 1120011.570276 1120011.5743105002 1120011.578345 1120011.5823795 1120011.586414 1120011.5904485001 1120011.594483 1120011.5985174999 1120011.602552 1120011.6065865 1120011.610621 1120011.6146554998 1120011.61869 1120011.6227245 1120011.6267590001 1120011.6307935 1120011.6348279999 1120011.6388625 1120011.642897 1120011.6469315002 1120011.6509665 1120011.655001 1120011.6590355001
18,1120012.361043,129.10500005818903,139,143,0.439002544264827,0.43327796087452775,1.3784736079102324,1.0,3d gaze,-16.15152911134402,2.38395863749977,179.76640697440413,1120012.361043 1120012.365078 1120012.3691125 1120012.373147 1120012.3771815002 1120012.381216 1120012.3852505 1120012.389285 1120012.3933195001 1120012.397354 1120012.4013885 1120012.405423 1120012.4094575 1120012.413492 1120012.4175264998 1120012.421561 1120012.4255955 1120012.42963 1120012.4336644998 1120012.437699 1120012.441734 1120012.4457685002 1120012.449803 1120012.4538375 1120012.457872 1120012.4619065002 1120012.465941 1120012.4699755 1120012.47401 1120012.4780445 1120012.482079 1120012.4861134999 1120012.490148
19,1120012.498217,197.6920000743121,143,149,0.45601119029457465,0.45547103943270556,1.4854795055817813,1.0,3d gaze,-10.952687382668271,-1.2122936130928954,175.76392992261347,1120012.498217 1120012.5022514998 1120012.506286 1120012.5103205 1120012.514355 1120012.5183895002 1120012.522424 1120012.5264585 1120012.530493 1120012.5345275002 1120012.538562 1120012.5425965 1120012.546631 1120012.5506655 1120012.5547004999 1120012.5587355 1120012.56277 1120012.5668044998 1120012.570839 1120012.5748735 1120012.578908 1120012.5829424998 1120012.5869769999 1120012.5910115 1120012.595046 1120012.5990805002 1120012.603115 1120012.6071495 1120012.611184 1120012.6152185001 1120012.619253 1120012.6232874999 1120012.627322 1120012.6313565 1120012.635391 1120012.6394254998 1120012.64346 1120012.6474945 1120012.651529 1120012.6555634998 1120012.6595979999 1120012.6636325 1120012.6676675002 1120012.671702 1120012.6757365 1120012.679771 1120012.6838055002 1120012.68784 1120012.6918745 1120012.695909
