Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1784152508.3006","14:55:08.300","4","98","1.0","67","4","2","2","4","4"
"1784152508.8006","14:55:08.800","4","98","1.0","83","4","2","4","4","4"
"1784152509.2999","14:55:09.299","4","98","1.0","83","4","2","4","4","4"
"1784152509.8","14:55:09.800","4","98","1.0","83","4","2","4","4","4"
"1784152510.2997","14:55:10.299","4","98","1.0","83","4","2","4","4","4"
"1784152510.7993","14:55:10.799","4","98","1.0","83","4","2","4","4","4"
"1784152511.2992","14:55:11.299","4","98","1.0","83","4","2","4","4","4"
"1784152511.799","14:55:11.799","4","98","1.0","83","4","2","4","4","4"
"1784152512.2985","14:55:12.298","4","98","1.0","83","4","2","4","4","4"
"1784152512.7984","14:55:12.798","4","98","1.0","58","4","1","2","4","4"
"1784152513.2989","14:55:13.298","4","98","1.0","67","4","2","2","4","4"
"1784152513.7988","14:55:13.798","4","98","1.0","67","4","2","4","2","4"
"1784152514.2984","14:55:14.298","4","98","1.0","83","4","2","4","4","4"
"1784152514.7989","14:55:14.798","4","98","1.0","83","4","2","4","4","4"
"1784152515.2981","14:55:15.298","4","98","1.0","67","4","2","2","4","4"
"1784152515.7978","14:55:15.797","4","98","1.0","83","4","2","4","4","4"
"1784152516.298","14:55:16.298","4","98","1.0","50","2","2","2","2","4"
"1784152516.7981","14:55:16.798","4","98","1.0","42","2","2","2","1","2"
"1784152517.2973","14:55:17.297","4","98","1.0","33","2","1","2","1","2"
"1784152517.7978","14:55:17.797","4","98","1.0","50","2","2","2","2","2"
"1784152518.2972","14:55:18.297","4","98","1.0","42","2","1","2","2","2"
"1784152518.7964","14:55:18.796","4","98","1.0","42","2","2","2","1","2"
"1784152519.2965","14:55:19.296","4","98","1.0","33","2","1","2","1","2"
"1784152519.7961","14:55:19.796","4","98","1.0","33","2","1","2","1","2"
"1784152520.2956","14:55:20.295","4","98","1.0","33","2","1","2","1","2"
"1784152520.7956","14:55:20.795","4","98","1.0","50","2","2","2","2","2"
