Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1785196962.0908","17:02:42.090","4","83","1.0","100","4","4","4","4","4"
"1785196962.5901","17:02:42.590","4","83","1.0","83","4","4","2","4","4"
"1785196963.0899","17:02:43.089","4","83","1.0","83","4","4","2","4","4"
"1785196963.5898","17:02:43.589","4","83","1.0","100","4","4","4","4","4"
"1785196964.0897","17:02:44.089","4","83","1.0","83","4","4","2","4","4"
"1785196964.5895","17:02:44.589","4","83","1.0","100","4","4","4","4","4"
"1785196965.09","17:02:45.090","4","83","1.0","100","4","4","4","4","4"
"1785196965.5899","17:02:45.589","4","83","1.0","83","4","4","2","4","4"
"1785196966.0894","17:02:46.089","4","83","1.0","100","4","4","4","4","4"
"1785196966.5898","17:02:46.589","4","83","1.0","100","4","4","4","4","4"
"1785196967.0896","17:02:47.089","4","83","1.0","83","4","4","2","4","4"
"1785196967.5889","17:02:47.588","4","83","1.0","100","4","4","4","4","4"
"1785196968.0891","17:02:48.089","4","83","1.0","100","4","4","4","4","4"
"1785196968.5888","17:02:48.588","4","83","1.0","83","4","4","2","4","4"
"1785196969.0882","17:02:49.088","4","83","1.0","83","4","4","2","4","4"
"1785196969.5887","17:02:49.588","4","83","1.0","67","4","2","2","4","4"
"1785196970.0885","17:02:50.088","4","83","1.0","83","4","4","2","4","4"
"1785196970.5883","17:02:50.588","4","83","1.0","100","4","4","4","4","4"
"1785196971.0886","17:02:51.088","4","83","1.0","100","4","4","4","4","4"
"1785196971.5885","17:02:51.588","4","83","1.0","100","4","4","4","4","4"
"1785196972.088","17:02:52.088","4","83","1.0","100","4","4","4","4","4"
"1785196972.5882","17:02:52.588","4","83","1.0","100","4","4","4","4","4"
"1785196973.0878","17:02:53.087","4","83","1.0","100","4","4","4","4","4"
"1785196973.5873","17:02:53.587","4","83","1.0","100","4","4","4","4","4"
"1785196974.0875","17:02:54.087","4","83","1.0","83","4","4","2","4","4"
"1785196974.588","17:02:54.588","4","83","1.0","100","4","4","4","4","4"
"1785196975.0872","17:02:55.087","4","83","1.0","100","4","4","4","4","4"
"1785196975.5873","17:02:55.587","4","83","1.0","100","4","4","4","4","4"
"1785196976.0871","17:02:56.087","4","83","1.0","100","4","4","4","4","4"
"1785196976.5863","17:02:56.586","4","83","1.0","100","4","4","4","4","4"
"1785196977.0864","17:02:57.086","4","83","1.0","83","4","4","2","4","4"
"1785196977.5864","17:02:57.586","4","83","1.0","83","4","4","2","4","4"
"1785196978.0859","17:02:58.085","4","83","1.0","83","4","4","2","4","4"
"1785196978.5859","17:02:58.585","4","83","1.0","100","4","4","4","4","4"
"1785196979.086","17:02:59.086","4","83","1.0","100","4","4","4","4","4"
"1785196979.5854","17:02:59.585","4","83","1.0","100","4","4","4","4","4"
"1785196980.0854","17:03:00.085","4","83","1.0","83","4","4","2","4","4"
"1785196980.5859","17:03:00.585","4","83","1.0","100","4","4","4","4","4"
"1785196981.0851","17:03:01.085","4","83","1.0","100","4","4","4","4","4"
"1785196981.585","17:03:01.585","4","83","1.0","100","4","4","4","4","4"
"1785196982.0852","17:03:02.085","4","83","1.0","83","4","4","2","4","4"
"1785196982.5845","17:03:02.584","4","83","1.0","100","4","4","4","4","4"
"1785196983.0845","17:03:03.084","4","83","1.0","100","4","4","4","4","4"
"1785196983.5843","17:03:03.584","4","83","1.0","100","4","4","4","4","4"
"1785196984.0841","17:03:04.084","4","83","1.0","42","2","2","1","2","2"
"1785196984.5837","17:03:04.583","4","83","1.0","0","0","0","0","0","2"
"1785196985.084","17:03:05.084","4","83","1.0","50","2","2","2","4","4"
"1785196985.5836","17:03:05.583","4","83","1.0","50","2","2","2","4","4"
"1785196986.0837","17:03:06.083","4","83","1.0","67","4","2","2","4","4"
"1785196986.5839","17:03:06.583","4","83","1.0","67","4","2","2","4","4"
"1785196987.0835","17:03:07.083","4","83","1.0","67","4","2","2","4","4"
"1785196987.583","17:03:07.583","4","83","1.0","67","4","2","2","4","4"
"1785196988.083","17:03:08.083","4","83","1.0","100","4","4","4","4","4"
"1785196988.5827","17:03:08.582","4","83","1.0","83","4","4","2","4","4"
"1785196989.0821","17:03:09.082","4","83","1.0","100","4","4","4","4","4"
"1785196989.5824","17:03:09.582","4","83","1.0","100","4","4","4","4","4"
